County,Region
Bedfordshire,East
Berkshire,South East
Bristol,South West
Buckinghamshire,South East
Cambridgeshire,East
Cheshire,West Midlands
City of London,London
Cornwall,South West
County Durham,North East
Cumbria,North West
Derbyshire,West Midlands
Devon,South West
Dorset,South West
East Riding of Yorkshire,Yorkshire & Humber
East Sussex,South East
Essex,East
Gloucestershire,South West
Greater London,London
Greater Manchester,North West
Hampshire,South East
Herefordshire,West Midlands
Hertfordshire,East
Isle of Wight,South East
Kent,South East
Lancashire,North West
Leicestershire,East Midlands
Lincolnshire,Yorkshire & Humber
Merseyside,North West
Norfolk,East
North Yorkshire,Yorkshire & Humber
Northamptonshire,East Midlands
Northumberland,North East
Nottinghamshire,East Midlands
Oxfordshire,South East
Rutland,East Midlands
Shropshire,West Midlands
Somerset,South West
South Yorkshire,Yorkshire & Humber
Staffordshire,West Midlands
Suffolk,East
Surrey,South East
Tyne and Wear,North East
Warwickshire,West Midlands
West Midlands,West Midlands
West Sussex,South East
West Yorkshire,Yorkshire & Humber
Wiltshire,South West
Worcestershire,West Midlands
