District,County
Adur,West Sussex
Allerdale,Cumbria
Amber Valley,Derbyshire
Arun,West Sussex
Ashfield,Nottinghamshire
Ashford,Kent
Aylesbury Vale,Buckinghamshire
Babergh,Suffolk
Barking and Dagenham,Greater London
Barnet,Greater London
Barnsley,South Yorkshire
Barrow-in-Furness,Cumbria
Basildon,Essex
Basingstoke and Deane,Hampshire
Bassetlaw,Nottinghamshire
Bath and North East Somerset,Somerset
Bedford,Bedfordshire
Bexley,Greater London
Birmingham,West Midlands
Blaby,Leicestershire
Blackburn with Darwen,Lancashire
Blackpool,Lancashire
Bolsover,Derbyshire
Bolton,Greater Manchester
Boston,Lincolnshire
"Bournemouth, Christchurch and Poole",Dorset
Bracknell Forest,Berkshire
Bradford,West Yorkshire
Braintree,Essex
Breckland,Norfolk
Brent,Greater London
Brentwood,Essex
Brighton and Hove,East Sussex
Bristol,Bristol
Broadland,Norfolk
Bromley,Greater London
Bromsgrove,Worcestershire
Broxbourne,Hertfordshire
Broxtowe,Nottinghamshire
Burnley,Lancashire
Bury,Greater Manchester
Calderdale,West Yorkshire
Cambridge,Cambridgeshire
Camden,Greater London
Cannock Chase,Staffordshire
Canterbury,Kent
Carlisle,Cumbria
Castle Point,Essex
Central Bedfordshire,Bedfordshire
Charnwood,Leicestershire
Chelmsford,Essex
Cheltenham,Gloucestershire
Cherwell,Oxfordshire
Cheshire East,Cheshire
Cheshire West and Chester,Cheshire
Chesterfield,Derbyshire
Chichester,West Sussex
Chiltern,Buckinghamshire
Chorley,Lancashire
Colchester,Essex
Copeland,Cumbria
Corby,Northamptonshire
Cornwall,Cornwall
Cotswold,Gloucestershire
Coventry,West Midlands
Craven,North Yorkshire
Crawley,West Sussex
Croydon,Greater London
Dacorum,Hertfordshire
Darlington,County Durham
Dartford,Kent
Daventry,Northamptonshire
Derby,Derbyshire
Derbyshire Dales,Derbyshire
Doncaster,South Yorkshire
Dorset,Dorset
Dover,Kent
Dudley,West Midlands
County Durham,County Durham
Ealing,Greater London
