﻿Title:,Table 11 - HE student enrolments by domicile and region of HE provider,,,,,,,,,,
Subtitle:,Academic years 2014/15 to 2017/18,,,,,,,,,,
Reference ID:,DT051 Table 11,,,,,,,,,,
Data source:,HESA,,,,,,,,,,
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-11,,,,,,,,,,
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-11.csv,,,,,,,,,,
Licence:,Creative Commons Attribution 4.0 International Licence,,,,,,,,,,
Date:,2019,,,,,,,,,,
Filters:,Domicile marker,All ,,,,,,,,,
,Level of study,All undergraduate ,,,,,,,,,
,Mode of study,All ,,,,,,,,,
,Academic year,2014/15 ,,,,,,,,,
Search:,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Region of HE provider,,,,,,,,,,
Domicile,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,The Open University in England,England
Aberdeenshire,55,40,15,25,55,25,50,50,20,0,340
Abertawe - Swansea,30,105,65,85,150,60,235,270,465,0,"1,455"
Angus,15,10,10,10,20,5,20,15,5,0,110
Antrim and Newtownabbey,105,195,40,25,30,25,65,50,45,0,585
Argyll and Bute,15,15,10,10,10,10,10,20,15,0,120
"Armagh, Banbridge and Craigavon",100,270,45,50,70,55,75,70,85,0,825
Bath and North East Somerset,80,165,185,150,215,75,350,540,"1,395",360,"3,515"
Bedford,90,165,300,790,375,"1,055",470,330,230,370,"4,170"
Belfast,240,535,80,60,65,70,150,140,105,0,"1,450"
Blackburn with Darwen,80,"2,080",405,95,90,30,105,55,25,175,"3,140"
Blackpool,80,"1,645",240,60,60,30,50,55,15,180,"2,410"
Blaenau Gwent - Blaenau Gwent,5,15,10,10,20,5,20,15,60,0,165
Bournemouth,15,65,60,65,115,70,305,805,"1,490",525,"3,510"
Bracknell Forest,40,65,70,140,150,85,355,825,355,260,"2,350"
Brighton and Hove,50,170,200,145,130,200,855,"2,455",400,730,"5,330"
Bro Morgannwg - The Vale of Glamorgan,25,140,70,100,130,35,145,240,505,0,"1,385"
Buckinghamshire,395,555,845,"1,395","1,255",985,"1,845","4,035","1,620","1,085","14,015"
Caerdydd - Cardiff,45,270,135,195,320,105,440,520,"1,035",0,"3,065"
Caerffili - Caerphilly,10,50,25,40,75,20,50,115,200,0,580
Cambridgeshire,495,525,"1,425","1,625",835,"3,635","1,255","1,300",730,"1,700","13,525"
Casnewydd - Newport,20,115,35,75,120,35,120,180,420,0,"1,125"
Castell-Nedd Port Talbot - Neath Port Talbot,5,40,20,40,75,15,70,75,205,0,550
Causeway Coast and Glens,155,330,60,45,70,30,70,50,50,0,865
Central Bedfordshire,130,270,445,960,465,"1,380",575,665,345,685,"5,920"
Cheshire East,385,"2,840","1,500",760,"1,100",140,370,365,340,600,"8,405"
Cheshire West and Chester,330,"3,275",995,390,430,100,310,250,260,560,"6,895"
City of Aberdeen,65,25,20,25,35,15,65,35,20,0,305
City of Bristol,120,330,325,250,330,140,640,645,"3,475",975,"7,220"
City of Derby,120,285,765,"2,845",520,75,145,130,115,385,"5,385"
City of Dundee,15,15,5,0,10,10,25,20,5,0,105
City of Edinburgh,220,110,120,50,65,105,220,145,135,0,"1,175"
City of Glasgow,45,65,35,25,45,40,125,65,25,0,470
City of Kingston upon Hull,185,270,"2,970",235,80,45,85,50,35,335,"4,295"
City of Leicester,60,290,500,"4,495",995,260,490,185,130,465,"7,875"
City of Nottingham,75,290,500,"2,820",345,105,260,135,80,550,"5,160"
City of Plymouth,40,90,65,110,140,80,245,295,"3,820",550,"5,440"
City of Portsmouth,15,55,55,75,90,80,275,"2,150",370,495,"3,660"
City of Southampton,30,80,65,80,125,65,370,"2,215",515,475,"4,020"
City of Stoke-on-Trent,25,685,165,370,"2,770",30,90,65,65,320,"4,590"
City of York,585,395,"1,855",265,130,75,210,155,105,370,"4,145"
Clackmannanshire,10,5,0,0,5,0,10,5,0,0,45
Conwy - Conwy,45,765,155,85,90,20,70,55,65,0,"1,350"
Cornwall,120,255,210,250,720,220,860,"1,030","6,900","1,115","11,680"
County Durham,"5,845",590,"1,135",280,175,130,230,175,105,710,"9,375"
Cumbria,"1,330","4,395","1,025",315,290,105,270,250,180,705,"8,865"
Darlington,"1,345",175,375,85,55,40,80,45,20,170,"2,390"
Derbyshire,495,"1,690","3,475","4,700","1,135",265,405,455,465,"1,255","14,340"
Derry and Strabane,165,550,80,45,50,35,80,60,55,0,"1,120"
Devon,225,445,470,460,"1,000",315,"1,150","1,595","6,690","1,785","14,135"
Dorset,130,185,205,255,350,210,720,"1,775","2,810","1,060","7,695"
Dumfries and Galloway,30,130,15,10,45,5,20,25,15,0,295
East Ayrshire,5,15,10,10,10,5,5,5,5,0,65
East Dunbartonshire,10,20,10,10,10,25,35,20,10,0,145
East Lothian,45,20,20,10,15,10,15,25,20,0,180
East Renfrewshire,15,15,15,10,15,10,25,15,10,0,130
East Riding of Yorkshire,710,640,"3,735",550,305,115,260,180,115,490,"7,100"
East Sussex,210,260,380,435,365,385,"1,575","4,655","1,060","1,280","10,605"
Essex,525,825,"1,410","2,285","1,370","8,365","4,375","4,710","1,880","3,285","29,030"
Falkirk,15,5,10,5,15,5,15,15,0,0,85
Fermanagh and Omagh,125,355,70,30,65,35,50,40,35,0,805
Fife,55,50,35,25,45,20,50,40,30,0,345
Gloucestershire,225,545,580,640,"1,345",255,830,"1,450","4,565","1,130","11,570"
Greater London,"2,950","6,065","7,045","11,860","10,840","17,350","113,370","30,975","10,840","13,615","224,910"
Greater Manchester,"1,580","36,250","8,955","2,075","2,275",610,"1,790","1,060",785,"3,975","59,360"
Gwynedd - Gwynedd,30,435,90,45,85,20,50,40,80,0,880
Halton,45,"1,650",195,70,155,20,40,35,25,165,"2,405"
Hampshire,505,780,810,"1,040","1,265",865,"2,870","11,075","5,095","3,060","27,360"
Hartlepool,"1,580",105,195,45,35,20,35,25,10,90,"2,140"
Herefordshire,70,260,165,180,870,70,205,310,735,360,"3,220"
Hertfordshire,725,"1,185","2,115","3,185","1,950","5,875","4,535","4,405","2,250","2,380","28,605"
Highland,40,30,15,10,40,10,15,35,15,0,205
Inverclyde,10,5,5,5,10,5,5,10,5,0,65
Isle of Wight,25,60,60,80,100,75,245,"1,185",390,435,"2,660"
Isles of Scilly,0,0,0,0,0,0,5,10,10,5,35
Kent,610,935,"1,220","1,835","1,240","1,550","5,755","12,510","2,590","3,170","31,415"
Lancashire,"1,235","16,605","3,245",860,880,285,735,620,455,"1,450","26,370"
Leicestershire,425,835,"1,755","5,555","1,775",540,740,770,650,"1,140","14,180"
Lincolnshire,755,790,"2,550","4,665",945,"1,045",710,680,395,"1,625","14,160"
Lisburn and Castlereagh,145,240,75,50,45,45,85,75,85,0,845
Luton,30,150,140,590,400,"2,390",885,385,150,345,"5,460"
Medway,55,115,130,225,190,325,"1,340","2,340",260,565,"5,545"
Merseyside,745,"20,335","2,740",795,925,260,980,510,435,"1,745","29,470"
Merthyr Tudful - Merthyr Tydfil,0,20,5,15,25,10,20,20,45,0,160
Mid and East Antrim,120,190,35,40,40,40,55,60,35,0,610
Mid Ulster,30,230,35,35,45,20,35,35,15,0,480
Middlesbrough,"2,455",200,310,60,40,20,70,30,10,105,"3,300"
Midlothian,15,5,5,5,5,5,10,15,10,0,75
Milton Keynes,70,315,385,"1,485",670,945,635,740,285,"1,200","6,735"
Moray,15,15,10,20,35,10,20,20,5,0,145
"Newry, Mourne and Down",100,410,50,45,65,45,85,65,75,0,930
Norfolk,410,510,"1,105","1,720",700,"5,015","1,190","1,280",675,"2,245","14,850"
North Ayrshire,10,20,5,5,10,5,10,5,5,0,80
North Down and Ards,175,275,60,50,70,55,70,85,85,0,920
North East Lincolnshire,175,240,"1,000",525,85,35,85,65,30,220,"2,470"
North Lanarkshire,15,10,10,15,35,5,15,15,5,0,125
North Lincolnshire,205,235,"1,155",520,125,45,110,65,40,235,"2,735"
North Somerset,55,150,170,145,240,80,265,405,"1,925",405,"3,835"
North Yorkshire,"2,710","1,615","4,590",830,650,290,600,470,405,"1,055","13,220"
Northamptonshire,285,695,"1,165","5,930","1,680","1,040",970,"1,200",755,"1,680","15,405"
Northumberland,"3,130",555,920,235,195,100,195,155,150,465,"6,095"
Nottinghamshire,670,"1,065","3,050","5,745","1,040",380,640,485,475,"1,470","15,025"
Orkney Islands,5,0,0,0,5,0,5,5,0,0,20
Oxfordshire,435,690,785,"1,020","1,385",680,"1,510","6,615","2,135","1,530","16,790"
Pen-Y-Bont Ar Ogwr - Bridgend,15,70,40,65,85,30,70,115,310,0,795
Perth and Kinross,35,25,20,20,35,15,35,45,25,0,245
Peterborough,95,150,435,860,295,915,370,185,70,490,"3,870"
Poole,30,50,60,75,100,60,225,705,"1,110",360,"2,775"
Powys - Powys,45,315,105,90,380,40,110,150,240,0,"1,480"
Reading,35,80,95,135,190,130,670,"1,205",385,390,"3,310"
Redcar and Cleveland,"2,125",175,330,80,45,25,55,40,20,175,"3,060"
Renfrewshire,20,20,10,15,15,5,20,15,5,0,115
"Rhondda, Cynon, Taff - Rhondda, Cynon, Taff",15,85,35,55,90,20,100,165,270,0,830
Rutland,60,60,125,220,95,60,60,65,75,115,925
Scottish Borders,60,35,35,20,30,10,15,20,20,0,240
Shetland Islands,0,5,0,0,5,0,0,5,0,0,20
Shropshire,135,"1,095",475,385,"1,910",125,295,335,480,630,"5,865"
Sir Benfro - Pembrokeshire,25,80,40,60,90,30,105,120,270,0,820
Sir Ceredigion - Ceredigion,15,105,35,35,85,25,65,75,130,0,560
Sir Ddinbych - Denbighshire,45,680,140,65,85,20,65,50,45,0,"1,190"
Sir Fynwy - Monmouthshire,30,105,60,100,165,30,120,195,435,0,"1,240"
Sir Gaerfyrddin - Carmarthenshire,20,120,45,60,120,30,155,140,345,0,"1,045"
Sir Y Fflint - Flintshire,50,"1,225",210,110,135,25,70,50,60,0,"1,935"
Sir Ynys Môn - Isle of Anglesey,20,335,65,35,50,10,35,30,40,0,615
Slough,15,75,75,160,280,230,"1,345",965,165,215,"3,530"
Somerset,190,455,320,405,675,220,865,"1,285","3,660","1,170","9,240"
South Ayrshire,10,5,10,5,10,5,5,15,10,0,80
