﻿Title:,"Table 11 - HE student enrolments by domicile and region of HE provider"
Subtitle:,"Academic years 2014/15 to 2017/18"
Reference ID:,DT051 Table 11
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-11
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-11.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2019
Filters:,Domicile marker,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2015/16 
Search:,


"","Region of HE provider"
"Domicile","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East of England","London","South East","South West","The Open University in England","England"
"Aberdeenshire","70","75","25","30","60","45","75","60","40","0","475"
"Abertawe - Swansea","40","165","95","115","205","75","270","320","530","0","1,815"
"Angus","30","20","20","15","20","5","25","20","10","0","160"
"Antrim and Newtownabbey","100","250","50","35","45","30","85","70","65","0","730"
"Argyll and Bute","15","25","20","20","20","15","35","30","15","0","195"
"Armagh, Banbridge and Craigavon","110","380","75","70","90","65","110","80","115","0","1,095"
"Bath and North East Somerset","100","210","215","190","280","120","520","635","2,240","360","4,870"
"Bedford","100","210","330","905","450","1,350","615","440","240","385","5,030"
"Belfast","275","695","115","90","100","75","225","155","125","0","1,855"
"Blackburn with Darwen","85","2,600","440","105","110","30","125","65","35","170","3,770"
"Blackpool","80","1,920","240","70","85","25","65","55","25","190","2,755"
"Blaenau Gwent - Blaenau Gwent","5","20","15","15","35","5","20","45","80","0","240"
"Bournemouth","30","95","75","100","160","95","345","1,050","1,840","525","4,320"
"Bracknell Forest","40","85","85","170","175","120","480","990","385","285","2,810"
"Brighton and Hove","85","255","260","210","200","275","1,260","4,255","525","710","8,030"
"Bro Morgannwg - The Vale of Glamorgan","30","160","75","130","160","50","195","290","550","0","1,640"
"Buckinghamshire","435","675","935","1,600","1,435","1,235","2,520","4,775","1,800","1,155","16,560"
"Caerdydd - Cardiff","55","360","180","270","425","140","610","640","1,275","0","3,960"
"Caerffili - Caerphilly","15","65","30","50","95","25","80","155","275","0","785"
"Cambridgeshire","605","670","1,570","1,985","1,085","5,150","2,040","1,670","880","1,825","17,480"
"Casnewydd - Newport","35","140","45","110","160","50","160","205","505","0","1,410"
"Castell-Nedd Port Talbot - Neath Port Talbot","15","60","30","55","90","25","80","105","220","0","680"
"Causeway Coast and Glens","160","390","60","45","80","45","80","80","70","0","1,010"
"Central Bedfordshire","150","305","460","1,095","560","1,790","735","830","395","700","7,025"
"Cheshire East","400","3,855","1,600","835","1,370","190","470","420","420","585","10,145"
"Cheshire West and Chester","345","4,615","1,100","470","520","125","375","305","320","590","8,760"
"City of Aberdeen","100","85","45","55","55","30","125","65","40","0","605"
"City of Bristol","150","480","400","320","480","285","915","865","5,955","1,025","10,885"
"City of Derby","120","370","880","3,480","645","95","210","140","150","375","6,470"
"City of Dundee","25","25","20","15","25","15","40","20","10","0","190"
"City of Edinburgh","320","180","185","115","125","160","415","215","175","0","1,900"
"City of Glasgow","90","135","75","75","115","55","230","105","55","0","935"
"City of Kingston upon Hull","230","300","3,840","270","100","55","140","70","45","340","5,390"
"City of Leicester","90","360","565","5,770","1,270","235","625","245","160","500","9,820"
"City of Nottingham","100","400","660","4,430","480","130","350","165","110","565","7,390"
"City of Plymouth","60","140","90","140","205","105","315","390","4,555","555","6,550"
"City of Portsmouth","30","85","75","115","135","115","360","2,815","475","540","4,740"
"City of Southampton","55","115","90","115","160","95","450","2,990","595","505","5,175"
"City of Stoke-on-Trent","35","815","190","430","3,275","45","120","80","75","365","5,425"
"City of York","650","525","2,770","325","200","110","270","210","145","410","5,615"
"Clackmannanshire","10","10","5","10","5","5","15","10","5","0","75"
"Conwy - Conwy","60","885","165","115","130","25","80","80","70","0","1,610"
"Cornwall","145","325","275","315","780","250","1,015","1,255","6,865","1,085","12,315"
"County Durham","7,340","740","1,255","340","260","170","310","235","125","680","11,460"
"Cumbria","1,485","5,290","1,110","370","375","135","370","290","195","750","10,365"
"Darlington","1,550","200","450","90","75","45","95","55","30","165","2,755"
"Derbyshire","565","2,035","4,340","5,835","1,390","320","535","510","560","1,310","17,395"
"Derry and Strabane","155","670","95","50","60","50","115","60","70","0","1,325"
"Devon","295","575","540","585","1,245","395","1,440","1,885","8,175","1,840","16,980"
"Dorset","155","255","235","300","470","275","915","2,215","3,545","1,045","9,410"
"Dumfries and Galloway","45","175","25","20","65","15","35","35","15","0","425"
"East Ayrshire","10","20","10","15","20","5","15","5","5","0","105"
"East Dunbartonshire","25","45","25","10","20","20","50","40","15","0","245"
"East Lothian","50","30","25","10","30","20","35","25","30","0","250"
"East Renfrewshire","15","30","20","15","25","10","45","25","10","0","195"
"East Riding of Yorkshire","785","750","4,750","680","395","130","330","195","135","525","8,680"
"East Sussex","255","345","430","515","430","475","1,940","5,865","1,175","1,255","12,685"
"Essex","630","1,000","1,530","2,590","1,735","9,400","5,770","5,220","2,190","3,270","33,330"
"Falkirk","20","15","20","10","15","10","25","20","5","0","140"
"Fermanagh and Omagh","130","405","80","40","70","40","80","55","45","0","940"
"Fife","85","75","50","45","50","40","85","60","45","0","545"
"Gloucestershire","255","660","680","770","1,825","380","1,130","1,735","6,115","1,165","14,720"
"Greater London","4,160","7,785","8,505","14,560","14,135","21,715","154,610","38,765","12,705","13,975","290,920"
"Greater Manchester","1,740","46,470","10,230","2,455","2,920","805","2,305","1,325","990","4,160","73,400"
"Gwynedd - Gwynedd","40","545","100","70","110","30","75","50","80","0","1,105"
"Halton","55","1,920","210","85","100","25","50","45","35","180","2,710"
"Hampshire","585","1,025","980","1,235","1,650","1,065","3,625","13,810","5,870","3,195","33,040"
"Hartlepool","1,735","115","215","55","40","25","60","35","20","85","2,385"
"Herefordshire","80","300","205","235","1,190","90","260","345","875","340","3,925"
"Hertfordshire","845","1,400","2,230","3,685","2,465","7,490","6,315","5,045","2,505","2,400","34,380"
"Highland","50","50","30","20","75","20","50","55","20","0","365"
"Inverclyde","20","5","5","5","10","10","10","10","10","0","80"
"Isle of Wight","35","75","75","95","100","85","270","1,440","485","410","3,075"
"Isles of Scilly","0","0","0","0","0","0","0","5","15","5","35"
"Kent","725","1,095","1,360","2,085","1,535","1,870","7,370","15,745","2,840","3,250","37,880"
"Lancashire","1,280","19,835","3,645","1,005","1,100","350","925","675","530","1,530","30,870"
"Leicestershire","460","1,010","1,905","7,295","2,270","580","895","825","730","1,175","17,150"
"Lincolnshire","845","905","3,035","6,155","1,265","1,185","885","755","515","1,740","17,290"
"Lisburn and Castlereagh","150","330","80","70","60","55","105","90","110","0","1,050"
"Luton","45","190","160","670","460","2,935","1,115","485","170","380","6,610"
"Medway","65","155","150","270","235","365","1,645","2,765","280","585","6,520"
"Merseyside","915","26,155","3,120","920","1,210","310","1,250","620","540","1,850","36,890"
"Merthyr Tudful - Merthyr Tydfil","5","20","10","15","35","5","35","30","65","0","220"
"Mid and East Antrim","105","250","50","45","65","45","80","75","40","0","750"
"Mid Ulster","50","275","40","40","50","35","70","35","25","0","620"
"Middlesbrough","2,870","220","385","70","55","25","90","35","15","120","3,890"
"Midlothian","20","15","5","15","15","5","20","20","10","0","125"
"Milton Keynes","95","405","420","1,720","865","1,140","825","900","340","1,420","8,125"
"Moray","20","20","10","20","30","10","30","20","10","0","180"
