Academic.Year,County,Number.of.students.leaving
2014,Bedfordshire,10695
2014,Berkshire,8635
2014,Bristol,9690
2014,Buckinghamshire,17280
2014,Cambridgeshire,20180
2014,Cheshire,5200
2014,Cornwall,5220
2014,County Durham,5435
2014,Cumbria,5195
2014,Derbyshire,20990
2014,Devon,10230
2014,Dorset,9290
2014,East Riding of Yorkshire,8335
2014,East Sussex,5930
2014,Essex,31660
2014,Gloucestershire,9140
2014,Greater London,122335
2014,Greater Manchester,24625
2014,Hampshire,20970
2014,Herefordshire,3170
2014,Hertfordshire,32855
2014,Isle of Wight,1325
2014,Kent,19835
2014,Lancashire,11685
2014,Leicestershire,13030
2014,Lincolnshire,15780
2014,Merseyside,10190
2014,Norfolk,16300
2014,North Yorkshire,24600
2014,Northamptonshire,9880
2014,Northumberland,3540
2014,Nottinghamshire,12060
2014,Oxfordshire,12275
2014,Rutland,755
2014,Shropshire,5060
2014,Somerset,6310
2014,South Yorkshire,28400
2014,Staffordshire,11185
2014,Suffolk,16205
2014,Surrey,22220
2014,Tyne and Wear,7810
2014,Warwickshire,8985
2014,West Midlands,26900
2014,West Sussex,9710
2014,West Yorkshire,55215
2014,Wiltshire,10590
2014,Worcestershire,7785
2015,Bedfordshire,11100
2015,Berkshire,8780
2015,Bristol,9960
2015,Buckinghamshire,17580
2015,Cambridgeshire,20630
2015,Cheshire,5220
2015,Cornwall,5360
2015,County Durham,5630
2015,Cumbria,5170
2015,Derbyshire,20940
2015,Devon,10590
2015,Dorset,9495
2015,East Riding of Yorkshire,8430
2015,East Sussex,6065
2015,Essex,31160
2015,Gloucestershire,9410
2015,Greater London,130935
2015,Greater Manchester,25100
2015,Hampshire,21530
2015,Herefordshire,3140
2015,Hertfordshire,33265
2015,Isle of Wight,1350
2015,Kent,20165
2015,Lancashire,11650
2015,Leicestershire,13070
2015,Lincolnshire,16065
2015,Merseyside,10430
2015,Norfolk,16310
2015,North Yorkshire,24860
2015,Northamptonshire,10140
2015,Northumberland,3540
2015,Nottinghamshire,12415
2015,Oxfordshire,12555
2015,Rutland,750
2015,Shropshire,5110
2015,Somerset,6535
2015,South Yorkshire,28290
2015,Staffordshire,11400
2015,Suffolk,16345
2015,Surrey,22680
2015,Tyne and Wear,8035
2015,Warwickshire,9280
2015,West Midlands,27755
2015,West Sussex,9815
2015,West Yorkshire,56455
2015,Wiltshire,11005
2015,Worcestershire,8035
2016,Bedfordshire,11615
2016,Berkshire,9025
2016,Bristol,10620
2016,Buckinghamshire,18360
2016,Cambridgeshire,21240
2016,Cheshire,5145
2016,Cornwall,5305
2016,County Durham,5710
2016,Cumbria,5235
2016,Derbyshire,21460
2016,Devon,10735
2016,Dorset,9625
2016,East Riding of Yorkshire,8475
2016,East Sussex,6250
2016,Essex,31475
2016,Gloucestershire,9560
2016,Greater London,139900
2016,Greater Manchester,25965
2016,Hampshire,22280
2016,Herefordshire,3125
2016,Hertfordshire,34445
2016,Isle of Wight,1400
2016,Kent,20795
2016,Lancashire,11580
2016,Leicestershire,13455
2016,Lincolnshire,16475
2016,Merseyside,10505
2016,Norfolk,16705
2016,North Yorkshire,25325
2016,Northamptonshire,10375
2016,Northumberland,3575
2016,Nottinghamshire,12775
2016,Oxfordshire,13295
2016,Rutland,805
2016,Shropshire,5275
2016,Somerset,6680
2016,South Yorkshire,28485
2016,Staffordshire,11550
2016,Suffolk,16595
2016,Surrey,23405
2016,Tyne and Wear,8165
2016,Warwickshire,9740
2016,West Midlands,28800
2016,West Sussex,10135
2016,West Yorkshire,55815
2016,Wiltshire,11175
2016,Worcestershire,8310
2017,Bedfordshire,11725
2017,Berkshire,9255
2017,Bristol,10800
2017,Buckinghamshire,18660
2017,Cambridgeshire,21305
2017,Cheshire,5235
2017,Cornwall,5085
2017,County Durham,5765
2017,Cumbria,5020
2017,Derbyshire,21630
2017,Devon,10730
2017,Dorset,9825
2017,East Riding of Yorkshire,8480
2017,East Sussex,6385
2017,Essex,31560
2017,Gloucestershire,9630
2017,Greater London,146890
2017,Greater Manchester,26010
2017,Hampshire,22300
2017,Herefordshire,3125
2017,Hertfordshire,34265
2017,Isle of Wight,1340
2017,Kent,21085
2017,Lancashire,11370
2017,Leicestershire,13340
2017,Lincolnshire,16710
2017,Merseyside,10115
2017,Norfolk,17150
2017,North Yorkshire,25165
2017,Northamptonshire,10570
2017,Northumberland,3485
2017,Nottinghamshire,12840
2017,Oxfordshire,13590
2017,Rutland,780
2017,Shropshire,5410
2017,Somerset,6720
2017,South Yorkshire,28785
2017,Staffordshire,11535
2017,Suffolk,16780
2017,Surrey,23650
2017,Tyne and Wear,8265
2017,Warwickshire,9630
2017,West Midlands,29375
2017,West Sussex,10235
2017,West Yorkshire,55680
2017,Wiltshire,11080
2017,Worcestershire,8290
