uni_name,local_authority,county,postcode,region
Leeds College of Music,Leeds,West Yorkshire,LS2 7PD,Yorkshire and the Humber
Leeds College of Art,Leeds,West Yorkshire,LS2 9AQ,Yorkshire and the Humber
Plymouth College of Art,Plymouth,Devon,PL4 8AT,South West
Falmouth University,Cornwall,NA,TR11 4RH,South West
University of Hertfordshire,Hertfordshire,Hertfordshire,AL10 9AB,East of England
University of Birmingham,Birmingham,West Midlands,B15 2TT,West Midlands
University College Birmingham,Birmingham,West Midlands,B3 1JB,West Midlands
"Newman University, Birmingham",Birmingham,West Midlands,B32 3NT,West Midlands
Aston University,Birmingham,West Midlands,B4 7ET,West Midlands
Birmingham City University,Birmingham,West Midlands,B42 2SU,West Midlands
University of Bath,Bath and North East Somerset,Somerset,BA2 7AY,South West
Bath Spa University,Bath and North East Somerset,Somerset,BA2 9BN,South West
University of Bradford,Bradford,West Yorkshire,BD7 1DP,Yorkshire and the Humber
Bournemouth University,Poole,Dorset,BH12 5BB,South West
The Arts University College At Bournemouth,Poole,Dorset,BH12 5HH,South West
University of Bolton,Bolton,NA,BL3 5AB,North West
University of Sussex,Brighton and Hove,East Sussex,BN1 9RH,South East
University of Brighton,Brighton and Hove,East Sussex,BN2 4AT,South East
Ravensbourne,Greenwich,NA,SE10 0EW,London
"University of the West of England, Bristol",South Gloucestershire,NA,BS16 1QY,South West
University of Bristol,Bristol City of,NA,BS8 1TH,South West
University of Cambridge,Cambridgeshire,NA,CB2 1TN,East of England
University of Chester,Cheshire West and Chester,Cheshire,CH1 4BJ,North West
Anglia Ruskin University,Essex,Essex,CM1 1SQ,East of England
Writtle University College,Essex,Essex,CM1 3RR,East of England
University of Essex,Essex,Essex,CO4 3SQ,East of England
Canterbury Christ Church University,Kent,Kent,CT1 1QU,South East
University of Kent,Kent,Kent,CT2 7NZ,South East
Coventry University,Warwickshire,Warwickshire,CV1 5FB,West Midlands
University of Warwick,Coventry,West Midlands,CV4 8UW,West Midlands
Rose Bruford College,Bexley,Kent,DA15 9DF,London
University of Derby,Derby,Derbyshire,DE22 1GB,East Midlands
University of Durham,Durham,NA,DH1 3HP,North East
